Date,Open,High,Low,Close,Volume,Market_Trend,Año,Rendimiento_%,Volatilidad,Media_Movil_6M,Epoca
2005-12-01,491.5,540.5,489.3,514.6,27651.0,DESCONOCIDO,2005,4.699898270600208,51.19999999999999,468.5,1. Crisis Subprime (2004-2011)
2006-01-01,516.8,572.2,516.3,568.7,34300.0,ALCISTA,2006,10.042569659442742,55.90000000000009,491.7333333333333,1. Crisis Subprime (2004-2011)
2006-02-01,569.2,574.7,534.6,562.0,24038.0,,2006,-1.2649332396345827,40.10000000000002,512.9666666666667,1. Crisis Subprime (2004-2011)
2006-03-01,562.1,589.1,533.7,583.5,19029.0,ALCISTA,2006,3.8071517523572274,55.39999999999998,532.0833333333334,1. Crisis Subprime (2004-2011)
2006-04-01,572.2,655.5,572.2,653.7,20719.0,BAJISTA,2006,14.24327158336246,83.29999999999995,563.5,1. Crisis Subprime (2004-2011)
2006-05-01,654.1,729.7,635.6,642.7,45716.0,BAJISTA,2006,-1.7428527748050722,94.10000000000002,587.5333333333333,1. Crisis Subprime (2004-2011)
2006-06-01,643.1,645.2,542.5,615.2,46392.0,BAJISTA,2006,-4.338361063598192,102.70000000000005,604.3000000000001,1. Crisis Subprime (2004-2011)
2006-07-01,617.0,676.0,602.1,635.7,21447.0,ALCISTA,2006,3.0307941653160526,73.89999999999998,615.4666666666667,1. Crisis Subprime (2004-2011)
2006-08-01,635.2,655.5,607.0,624.6,21618.0,ALCISTA,2006,-1.6687657430730511,48.5,625.9000000000001,1. Crisis Subprime (2004-2011)
2006-09-01,626.0,640.2,570.2,597.7,49090.0,BAJISTA,2006,-4.520766773162932,70.0,628.2666666666668,1. Crisis Subprime (2004-2011)
2006-10-01,598.2,610.6,559.2,606.1,65291.0,BAJISTA,2006,1.3206285523236336,51.39999999999998,620.3333333333334,1. Crisis Subprime (2004-2011)
2006-11-01,606.0,648.2,605.1,647.2,63698.0,ALCISTA,2006,6.798679867986807,43.10000000000002,621.0833333333334,1. Crisis Subprime (2004-2011)
2006-12-01,646.1,649.6,611.1,636.2,45617.0,BAJISTA,2006,-1.53227054635505,38.5,624.5833333333334,1. Crisis Subprime (2004-2011)
2007-01-01,638.2,654.2,601.5,652.7,58508.0,ALCISTA,2007,2.272015042306487,52.700000000000045,627.4166666666667,1. Crisis Subprime (2004-2011)
2007-02-01,652.5,688.1,642.7,669.1,62597.0,,2007,2.5440613026819956,45.39999999999998,634.8333333333334,1. Crisis Subprime (2004-2011)
2007-03-01,673.2,677.0,632.5,663.2,88918.0,BAJISTA,2007,-1.4854426619132501,44.5,645.7500000000001,1. Crisis Subprime (2004-2011)
2007-04-01,664.5,693.3,655.9,677.7,80641.0,DESCONOCIDO,2007,1.9864559819413163,37.39999999999998,657.6833333333334,1. Crisis Subprime (2004-2011)
2007-05-01,677.9,690.4,651.5,660.5,71873.0,BAJISTA,2007,-2.5667502581501664,38.89999999999998,659.9,1. Crisis Subprime (2004-2011)
2007-06-01,661.2,673.6,639.8,649.1,65472.0,ALCISTA,2007,-1.8300060496067787,33.80000000000007,662.0500000000001,1. Crisis Subprime (2004-2011)
2007-07-01,650.1,687.5,645.0,663.5,78615.0,BAJISTA,2007,2.0612213505614485,42.5,663.85,1. Crisis Subprime (2004-2011)
2007-08-01,663.4,676.4,641.6,672.8,103222.0,BAJISTA,2007,1.416943020801926,34.799999999999955,664.4666666666667,1. Crisis Subprime (2004-2011)
2007-09-01,672.5,745.4,671.0,742.9,110761.0,BAJISTA,2007,10.468401486988844,74.39999999999998,677.75,1. Crisis Subprime (2004-2011)
2007-10-01,743.7,797.0,720.3,796.1,164762.0,BAJISTA,2007,7.045851821971222,76.70000000000005,697.4833333333332,1. Crisis Subprime (2004-2011)
2007-11-01,797.9,845.4,772.5,782.7,239943.0,ALCISTA,2007,-1.9050006266449346,72.89999999999998,717.85,1. Crisis Subprime (2004-2011)
2007-12-01,784.6,841.8,776.8,831.8,141980.0,ALCISTA,2007,6.01580423145551,65.0,748.2999999999998,1. Crisis Subprime (2004-2011)
2008-01-01,841.0,936.7,839.5,924.5,260348.0,BAJISTA,2008,9.928656361474435,97.20000000000005,791.7999999999998,1. Crisis Subprime (2004-2011)
2008-02-01,923.9,975.8,883.9,920.15,202905.0,ALCISTA,2008,-0.40588808312587943,91.89999999999998,833.025,1. Crisis Subprime (2004-2011)
2008-03-01,976.1,1032.2,904.4,915.8,185622.0,DESCONOCIDO,2008,-6.1776457330191645,127.80000000000007,861.8416666666667,1. Crisis Subprime (2004-2011)
2008-04-01,915.4,952.4,862.2,876.7,154085.0,,2008,-4.227660039327063,90.19999999999993,875.275,1. Crisis Subprime (2004-2011)
2008-05-01,875.3,943.65,844.9,886.3,140259.0,BAJISTA,2008,1.25671198446247,98.75,892.5416666666666,1. Crisis Subprime (2004-2011)
2008-06-01,886.8,934.9,857.1,924.6,139272.0,BAJISTA,2008,4.2625169147496695,77.79999999999995,908.0083333333333,1. Crisis Subprime (2004-2011)
2008-07-01,925.4,988.0,893.6,913.3,179987.0,BAJISTA,2008,-1.3075426842446534,94.39999999999998,906.1416666666668,1. Crisis Subprime (2004-2011)
2008-08-01,913.7,916.7,772.6,830.7,186901.0,ALCISTA,2008,-9.083944401882455,144.10000000000002,891.2333333333335,1. Crisis Subprime (2004-2011)
2008-09-01,833.8,923.9,735.9,870.9,229748.0,BAJISTA,2008,4.449508275365798,188.0,883.75,1. Crisis Subprime (2004-2011)
2008-10-01,872.4,931.1,681.4,843.45,270498.0,ALCISTA,2008,-3.31843191196698,249.70000000000005,878.2083333333334,1. Crisis Subprime (2004-2011)
2008-11-01,728.2,830.5,699.7,816.0,233346.0,BAJISTA,2008,12.057127162867337,130.79999999999995,866.4916666666667,1. Crisis Subprime (2004-2011)
2008-12-01,815.1,887.8,741.1,866.8,263175.0,,2008,6.342780026990545,146.69999999999993,856.8583333333332,1. Crisis Subprime (2004-2011)
2009-01-01,874.2,929.2,801.9,926.5,324199.0,BAJISTA,2009,5.9826126744452015,127.30000000000007,859.0583333333334,1. Crisis Subprime (2004-2011)
2009-02-01,923.7,1005.9,888.9,941.6,197925.0,ALCISTA,2009,1.9378586121034942,117.0,877.5416666666666,1. Crisis Subprime (2004-2011)
2009-03-01,947.5,966.7,883.0,913.9000000000001,539006.0,BAJISTA,2009,-3.5461741424802016,83.70000000000005,884.7083333333334,1. Crisis Subprime (2004-2011)
2009-04-01,916.9,932.6,864.54,886.2,706235.0,BAJISTA,2009,-3.3482386301668594,68.06000000000006,891.8333333333334,1. Crisis Subprime (2004-2011)
2009-05-01,885.9,980.02,880.03,978.57,477783.0,BAJISTA,2009,10.460548594649516,99.99000000000001,918.9283333333334,1. Crisis Subprime (2004-2011)
2009-06-01,976.74,989.63,912.88,926.35,588342.0,DESCONOCIDO,2009,-5.158998300468905,76.75,928.8533333333335,1. Crisis Subprime (2004-2011)
2009-07-01,927.49,958.68,904.78,953.5,513166.0,,2009,2.8043429039666186,53.89999999999998,933.3533333333335,1. Crisis Subprime (2004-2011)
2009-08-01,952.97,971.46,930.08,950.65,722334.0,DESCONOCIDO,2009,-0.24344942652969664,41.379999999999995,934.8616666666667,1. Crisis Subprime (2004-2011)
2009-09-01,952.34,1023.87,946.23,1007.3,848394.0,ALCISTA,2009,5.77104815507066,77.63999999999999,950.4283333333334,1. Crisis Subprime (2004-2011)
2009-10-01,1009.4,1070.58,986.55,1044.96,1092991.0,BAJISTA,2009,3.522884882108189,84.02999999999997,976.8883333333333,1. Crisis Subprime (2004-2011)
2009-11-01,1044.12,1194.95,1042.84,1179.32,966371.0,ALCISTA,2009,12.948703214189946,152.11000000000013,1010.3466666666667,1. Crisis Subprime (2004-2011)
2009-12-01,1179.66,1226.37,1074.48,1097.51,824780.0,BAJISTA,2009,-6.963870945865764,151.88999999999987,1038.8733333333332,1. Crisis Subprime (2004-2011)
2010-01-01,1094.61,1161.63,1074.01,1080.67,1249328.0,BAJISTA,2010,-1.2735129406820538,87.62000000000012,1060.0683333333334,1. Crisis Subprime (2004-2011)
2010-02-01,1082.66,1130.75,1044.46,1117.3,1430065.0,,2010,3.199527090684044,86.28999999999996,1087.8433333333332,1. Crisis Subprime (2004-2011)
2010-03-01,1117.83,1144.62,1085.05,1112.89,1152749.0,,2010,-0.441927663419288,59.569999999999936,1105.4416666666666,1. Crisis Subprime (2004-2011)
2010-04-01,1112.98,1181.41,1111.45,1178.72,1170076.0,BAJISTA,2010,5.906664989487682,69.96000000000004,1127.7350000000001,1. Crisis Subprime (2004-2011)
2010-05-01,1177.78,1249.12,1157.62,1210.4250000000002,1365005.0,BAJISTA,2010,2.7717400533206717,91.5,1132.9191666666668,1. Crisis Subprime (2004-2011)
2010-06-01,1216.65,1265.02,1196.8,1242.13,965654.0,ALCISTA,2010,2.094275264044714,68.22000000000003,1157.0225000000003,1. Crisis Subprime (2004-2011)
2010-07-01,1242.53,1243.73,1157.0,1180.55,593820.0,DESCONOCIDO,2010,-4.98820954021231,86.73000000000002,1173.6691666666666,1. Crisis Subprime (2004-2011)
2010-08-01,1181.13,1249.7,1174.53,1247.2,512122.0,ALCISTA,2010,5.593795771845599,75.17000000000007,1195.319166666667,1. Crisis Subprime (2004-2011)
2010-09-01,1247.4,1315.59,1236.5,1307.94,751565.0,ALCISTA,2010,4.85329485329485,79.08999999999992,1227.8275,1. Crisis Subprime (2004-2011)
2010-10-01,1307.35,1387.03,1306.72,1359.0,1288990.0,ALCISTA,2010,3.9507400466592797,80.30999999999995,1257.8741666666667,1. Crisis Subprime (2004-2011)
2010-11-01,1361.2,1424.3,1325.55,1386.4,678468.0,ALCISTA,2010,1.8513076697032065,98.75,1287.2033333333334,1. Crisis Subprime (2004-2011)
2010-12-01,1383.2,1430.88,1361.19,1408.13,794075.0,ALCISTA,2010,1.8023423944476622,69.69000000000005,1314.8700000000001,1. Crisis Subprime (2004-2011)
2011-01-01,1415.71,1423.77,1307.88,1332.4,1406394.0,,2011,-5.884679771987197,115.88999999999987,1340.1783333333333,1. Crisis Subprime (2004-2011)
2011-02-01,1332.31,1417.94,1324.82,1411.12,1453907.0,ALCISTA,2011,5.9152899850635325,93.12000000000012,1367.4983333333332,1. Crisis Subprime (2004-2011)
2011-03-01,1410.87,1447.4,1380.88,1431.9,1390531.0,,2011,1.4905696485147606,66.51999999999998,1388.1583333333335,1. Crisis Subprime (2004-2011)
2011-04-01,1432.48,1569.0,1412.74,1563.3,283910.0,,2011,9.13241371607282,156.26,1422.2083333333333,1. Crisis Subprime (2004-2011)
2011-05-01,1547.25,1575.13,1462.35,1535.6,529667.0,DESCONOCIDO,2011,-0.7529487800937205,112.7800000000002,1447.075,1. Crisis Subprime (2004-2011)
2011-06-01,1535.05,1557.86,1490.96,1500.0,733119.0,BAJISTA,2011,-2.283313247125498,66.89999999999986,1462.3866666666665,1. Crisis Subprime (2004-2011)
2011-07-01,1500.75,1632.35,1478.05,1626.27,1366911.0,ALCISTA,2011,8.36381809095452,154.29999999999995,1511.365,1. Crisis Subprime (2004-2011)
2011-08-01,1610.2,1911.63,1607.88,1824.56,1487869.0,ALCISTA,2011,13.312631971183697,303.75,1580.2716666666668,1. Crisis Subprime (2004-2011)
2011-09-01,1824.75,1920.61,1531.94,1623.68,1423540.0,BAJISTA,2011,-11.019043704617067,388.66999999999985,1612.235,1. Crisis Subprime (2004-2011)
2011-10-01,1623.68,1752.22,1595.65,1713.95,1154026.0,BAJISTA,2011,5.559593023255813,156.56999999999994,1637.3433333333335,1. Crisis Subprime (2004-2011)
2011-11-01,1710.93,1802.79,1666.33,1746.03,1139951.0,ALCISTA,2011,2.051515842261221,136.46000000000004,1672.415,1. Crisis Subprime (2004-2011)
2011-12-01,1747.83,1763.03,1522.64,1564.11,1122121.0,BAJISTA,2011,-10.511319750776678,240.38999999999987,1683.1000000000001,1. Crisis Subprime (2004-2011)
2012-01-01,1567.37,1747.52,1566.07,1738.18,1185675.0,,2012,10.897873507850743,181.45000000000005,1701.7516666666668,2. Recuperación (2012-2019)
2012-02-01,1738.07,1790.56,1685.96,1696.35,1112904.0,ALCISTA,2012,-2.4003636217183444,104.59999999999991,1680.3833333333332,2. Recuperación (2012-2019)
2012-03-01,1716.46,1724.1,1628.08,1666.95,1332475.0,DESCONOCIDO,2012,-2.884424921058457,96.01999999999998,1687.595,2. Recuperación (2012-2019)
2012-04-01,1671.34,1683.46,1612.39,1664.42,2632107.0,ALCISTA,2012,-0.4140390345471206,71.06999999999994,1679.34,2. Recuperación (2012-2019)
2012-05-01,1664.55,1671.45,1526.96,1560.9,3215700.0,BAJISTA,2012,-6.226908173380185,144.49,1648.485,2. Recuperación (2012-2019)
2012-06-01,1559.49,1640.63,1544.92,1596.56,2708513.0,ALCISTA,2012,2.3770591667788787,95.71000000000004,1653.8933333333334,2. Recuperación (2012-2019)
2012-07-01,1597.61,1629.38,1554.94,1613.98,2250860.0,ALCISTA,2012,1.0246555792715444,74.44000000000005,1633.1933333333334,2. Recuperación (2012-2019)
2012-08-01,1614.74,1692.78,1583.83,1690.8,2145511.0,BAJISTA,2012,4.710355846761704,108.95000000000005,1632.2683333333334,2. Recuperación (2012-2019)
2012-09-01,1689.15,1787.39,1685.35,1771.68,2800629.0,BAJISTA,2012,4.885889352632979,102.04000000000019,1649.7233333333334,2. Recuperación (2012-2019)
2012-10-01,1769.47,1795.87,1698.5,1720.32,3195541.0,ALCISTA,2012,-2.7776678892549795,97.36999999999989,1659.04,2. Recuperación (2012-2019)
2012-11-01,1719.89,1754.28,1672.63,1714.13,3185235.0,BAJISTA,2012,-0.33490513928216287,81.64999999999986,1684.5783333333336,2. Recuperación (2012-2019)
2012-12-01,1714.96,1723.27,1635.44,1674.87,2566939.0,ALCISTA,2012,-2.337663852218136,87.82999999999993,1697.6299999999999,2. Recuperación (2012-2019)
2013-01-01,1673.25,1696.1,1625.8,1663.44,2831400.0,ALCISTA,2013,-0.5862841774988761,70.29999999999995,1705.8733333333332,2. Recuperación (2012-2019)
2013-02-01,1663.93,1684.97,1555.04,1579.99,3429619.0,BAJISTA,2013,-5.044683370093697,129.93000000000006,1687.405,2. Recuperación (2012-2019)
2013-03-01,1580.61,1616.84,1561.41,1596.1,2745504.0,DESCONOCIDO,2013,0.9800013918676973,55.429999999999836,1658.1416666666667,2. Recuperación (2012-2019)
2013-04-01,1600.84,1603.92,1321.54,1476.59,4981984.0,ALCISTA,2013,-7.76155018615227,282.3800000000001,1617.5200000000002,2. Recuperación (2012-2019)
2013-05-01,1475.67,1488.08,1337.95,1387.64,5324134.0,ALCISTA,2013,-5.965425874348599,150.12999999999988,1563.1050000000002,2. Recuperación (2012-2019)
2013-06-01,1389.5,1423.89,1180.17,1234.86,4953373.0,BAJISTA,2013,-11.129183159409866,243.72000000000003,1489.7700000000002,2. Recuperación (2012-2019)
